CustomerID,Category,Region,Age,DaysToShip,Discount,OrderValue,RiskProfile,CustomerSince
CUST-001,Technology,West,41,16,0.22,643.9,Balanced,2019-01-06
CUST-002,Furniture,North,26,16,0.29,1873.82,Aggressive,2019-01-13
CUST-003,Technology,South,26,18,0.15,1603.83,Aggressive,2019-01-20
CUST-004,Technology,West,52,17,0.1,2719.26,Balanced,2019-01-27
CUST-005,Furniture,West,47,18,0.24,1377.29,Balanced,2019-02-03
CUST-006,Furniture,East,61,9,0.08,792.67,Balanced,2019-02-10
CUST-007,Technology,South,56,10,0.13,857.48,Balanced,2019-02-17
CUST-008,Office Supplies,South,57,7,0.02,2403.78,Balanced,2019-02-24
CUST-009,Technology,North,25,16,0.01,2045.55,Aggressive,2019-03-03
CUST-010,Technology,South,43,13,0.29,752.81,Aggressive,2019-03-10
CUST-011,Technology,North,26,9,0.25,710.27,Balanced,2019-03-17
CUST-012,Technology,South,50,12,0.21,2252.42,Conservative,2019-03-24
CUST-013,Furniture,East,56,17,0.12,681.91,Balanced,2019-03-31
CUST-014,Technology,South,30,5,0.05,2554.65,Conservative,2019-04-07
CUST-015,Office Supplies,North,56,18,0.05,2265.61,Balanced,2019-04-14
CUST-016,Furniture,North,28,9,0.08,703.37,Balanced,2019-04-21
CUST-017,Office Supplies,East,35,19,0.16,712.09,Aggressive,2019-04-28
CUST-018,Office Supplies,South,41,7,0.21,2966.6,Conservative,2019-05-05
CUST-019,Office Supplies,South,62,16,0.2,1435.68,Conservative,2019-05-12
CUST-020,Office Supplies,East,48,5,0.08,1426.61,Aggressive,2019-05-19
CUST-021,Furniture,South,29,8,0.29,2532.0,Aggressive,2019-05-26
CUST-022,Furniture,South,58,19,0.22,2868.12,Aggressive,2019-06-02
CUST-023,Office Supplies,North,30,17,0.17,2965.0,Aggressive,2019-06-09
CUST-024,Office Supplies,South,46,9,0.18,2383.45,Conservative,2019-06-16
CUST-025,Furniture,South,35,11,0.13,1440.65,Conservative,2019-06-23
CUST-026,Furniture,East,40,5,0.07,708.75,Balanced,2019-06-30
CUST-027,Furniture,East,57,7,0.11,2442.87,Balanced,2019-07-07
CUST-028,Technology,West,33,6,0.23,1896.01,Aggressive,2019-07-14
CUST-029,Technology,North,30,13,0.0,1560.56,Aggressive,2019-07-21
CUST-030,Technology,South,40,14,0.03,2765.89,Aggressive,2019-07-28
CUST-031,Office Supplies,South,53,19,0.01,777.99,Balanced,2019-08-04
CUST-032,Technology,West,27,10,0.01,1731.56,Balanced,2019-08-11
CUST-033,Office Supplies,South,44,14,0.26,528.38,Balanced,2019-08-18
CUST-034,Office Supplies,North,60,7,0.21,1671.65,Balanced,2019-08-25
